country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Mongolia,1850,MNG,647952,,,,,,,,,,,,,,,,,,,,,,,,,,,10.089,,,,,,,,,0.329,28.689,10.089,15.57,3.964,6.118,0.314,0.485,,,,,,,,,,,,,,,,0.382,,,,,0.382,,,,,,,,18.589,0.213,,
Mongolia,1851,MNG,648865,,,,,,,,,,,,,,,,,,,,,,,,,,,19.293,,,,,,,,,0.329,27.476,9.204,14.185,3.971,6.12,0.321,0.494,,,,,,,,,,,,,,,,0.353,,,,,0.326,,,0.373,0,0,0,0,17.828,0.214,,
Mongolia,1852,MNG,649778,,,,,,,,,,,,,,,,,,,,,,,,,,,28.507,,,,,,,,,0.33,27.653,9.214,14.18,3.978,6.122,0.327,0.503,,,,,,,,,,,,,,,,0.343,,,,,0.322,,,0.373,0,0,0,0,17.968,0.214,,
Mongolia,1853,MNG,650693,,,,,,,,,,,,,,,,,,,,,,,,,,,38.885,,,,,,,,,0.33,29.6,10.378,15.949,3.984,6.123,0.333,0.512,,,,,,,,,,,,,,,,0.347,,,,,0.357,,,0.381,0,0,0,0,19.261,0.215,,
Mongolia,1854,MNG,651609,,,,,,,,,,,,,,,,,,,,,,,,,,,49.989,,,,,,,,,0.33,30.873,11.104,17.041,3.991,6.125,0.339,0.52,,,,,,,,,,,,,,,,0.354,,,,,0.381,,,0.388,0,0,0,0,20.117,0.215,,
Mongolia,1855,MNG,652527,,,,,,,,,,,,,,,,,,,,,,,,,,,60.866,,,,,,,,,0.33,30.67,10.877,16.669,3.998,6.127,0.344,0.527,,,,,,,,,,,,,,,,0.358,,,,,0.378,,,0.393,0,0,0,0,20.013,0.216,,
Mongolia,1856,MNG,653446,,,,,,,,,,,,,,,,,,,,,,,,,,,70.858,,,,,,,,,0.331,29.454,9.992,15.291,4.005,6.129,0.349,0.533,,,,,,,,,,,,,,,,0.355,,,,,0.337,,,0.391,0,0,0,0,19.247,0.216,,
Mongolia,1857,MNG,654366,,,,,,,,,,,,,,,,,,,,,,,,,,,77.397,,,,,,,,,0.331,24.312,6.539,9.992,4.011,6.13,0.353,0.539,,,,,,,,,,,,,,,,0.337,,,,,0.222,,,0.379,0,0,0,0,15.909,0.216,,
Mongolia,1858,MNG,655287,,,,,,,,,,,,,,,,,,,,,,,,,,,87.803,,,,,,,,,0.331,30.348,10.407,15.881,4.018,6.132,0.356,0.543,,,,,,,,,,,,,,,,0.339,,,,,0.35,,,0.382,0,0,0,0,19.887,0.217,,
Mongolia,1859,MNG,656209,,,,,,,,,,,,,,,,,,,,,,,,,,,97.814,,,,,,,,,0.331,29.862,10.011,15.256,4.025,6.134,0.358,0.546,,,,,,,,,,,,,,,,0.338,,,,,0.329,,,0.382,0,0,0,0,19.596,0.217,,
Mongolia,1860,MNG,657133,,,,,,,,,,,,,,,,,,,,,,,,,,,106.439,,,,,,,,,0.331,27.864,8.625,13.125,4.032,6.135,0.359,0.547,,,,,,,,,,,,,,,,0.335,,,,,0.31,,,0.381,0,0,0,0,18.311,0.218,,
Mongolia,1861,MNG,658058,,,,,,,,,,,,,,,,,,,,,,,,,,,116.385,,,,,,,,,0.332,29.965,9.946,15.115,4.039,6.137,0.36,0.547,,,,,,,,,,,,,,,,0.337,,,,,0.359,,,0.383,0,0,0,0,19.718,0.218,,
Mongolia,1862,MNG,658985,,,,,,,,,,,,,,,,,,,,,,,,,,,128.401,,,,,,,,,0.332,33.203,12.016,18.233,4.045,6.139,0.36,0.547,,,,,,,,,,,,,,,,0.345,,,,,0.438,,,0.389,0,0,0,0,21.881,0.219,,
Mongolia,1863,MNG,659913,,,,,,,,,,,,,,,,,,,,,,,,,,,137.805,,,,,,,,,0.332,29.334,9.404,14.251,4.052,6.141,0.361,0.547,,,,,,,,,,,,,,,,0.345,,,,,0.347,,,0.39,0,0,0,0,19.358,0.219,,
Mongolia,1864,MNG,660842,,,,,,,,,,,,,,,,,,,,,,,,,,,148.402,,,,,,,,,0.332,31.231,10.597,16.036,4.059,6.142,0.361,0.547,,,,,,,,,,,,,,,,0.349,,,,,0.405,,,0.392,0,0,0,0,20.639,0.22,,
Mongolia,1865,MNG,661772,,,,,,,,,,,,,,,,,,,,,,,,,,,157.152,,,,,,,,,0.333,28.518,8.75,13.222,4.066,6.144,0.361,0.546,,,,,,,,,,,,,,,,0.348,,,,,0.34,,,0.392,0,0,0,0,18.873,0.22,,
Mongolia,1866,MNG,662704,,,,,,,,,,,,,,,,,,,,,,,,,,,166.583,,,,,,,,,0.333,29.63,9.43,14.23,4.073,6.146,0.362,0.546,,,,,,,,,,,,,,,,0.349,,,,,0.362,,,0.393,0,0,0,0,19.636,0.221,,
Mongolia,1867,MNG,663637,,,,,,,,,,,,,,,,,,,,,,,,,,,176.792,,,,,,,,,0.333,30.893,10.209,15.383,4.08,6.148,0.362,0.546,,,,,,,,,,,,,,,,0.351,,,,,0.397,,,0.394,0,0,0,0,20.502,0.221,,
Mongolia,1868,MNG,664571,,,,,,,,,,,,,,,,,,,,,,,,,,,186.432,,,,,,,,,0.333,30.128,9.641,14.507,4.087,6.149,0.362,0.545,,,,,,,,,,,,,,,,0.353,,,,,0.38,,,0.395,0,0,0,0,20.022,0.221,,
Mongolia,1869,MNG,665511,,,,,,,,,,,,,,,,,,,,,,,,,,,196.017,,,,,,,,,0.333,30.131,9.585,14.402,4.093,6.151,0.363,0.545,,,,,,,,,,,,,,,,0.354,,,,,0.371,,,0.396,0,0,0,0,20.053,0.222,,
Mongolia,1870,MNG,666458,,,,,,,,,,,,,,,,,,,,,,,,,,,205.501,,,,,,,,,0.334,30.483,9.484,14.231,4.1,6.152,0.364,0.546,,,,,,,,,,,,,,,,0.353,,,,,0.335,,,0.395,0,0,0,0,20.315,0.222,,
Mongolia,1871,MNG,667411,,,,,,,,,,,,,,,,,,,,,,,,,,,216.661,,,,,,,,,0.334,33.319,11.16,16.721,4.111,6.16,0.37,0.554,,,,,,,,,,,,,,,,0.354,,,,,0.391,,,0.397,0,0,0,0,22.237,0.223,,
Mongolia,1872,MNG,668369,,,,,,,,,,,,,,,,,,,,,,,,,,,227.508,,,,,,,,,0.334,33.024,10.847,16.229,4.122,6.168,0.385,0.576,,,,,,,,,,,,,,,,0.354,,,,,0.355,,,0.396,0,0,0,0,22.072,0.224,,
Mongolia,1873,MNG,669334,,,,,,,,,,,,,,,,,,,,,,,,,,,240.071,,,,,,,,,0.335,35.726,12.563,18.77,4.133,6.175,0.407,0.608,,,,,,,,,,,,,,,,0.357,,,,,0.422,,,0.398,0,0,0,0,23.912,0.224,,
Mongolia,1874,MNG,670301,,,,,,,,,,,,,,,,,,,,,,,,,,,251.07,,,,,,,,,0.335,33.507,10.998,16.408,4.144,6.182,0.434,0.648,,,,,,,,,,,,,,,,0.357,,,,,0.346,,,0.397,0,0,0,0,22.46,0.225,,
Mongolia,1875,MNG,671269,,,,,,,,,,,,,,,,,,,,,,,,,,,262.17,,,,,,,,,0.336,33.762,11.101,16.537,4.155,6.19,0.464,0.691,,,,,,,,,,,,,,,,0.356,,,,,0.34,,,0.396,0,0,0,0,22.663,0.226,,
Mongolia,1876,MNG,672238,,,,,,,,,,,,,,,,,,,,,,,,,,,273.546,,,,,,,,,0.337,34.245,11.376,16.922,4.166,6.197,0.494,0.735,,,,,,,,,,,,,,,,0.356,,,,,0.346,,,0.395,0,0,0,0,23.021,0.226,,
Mongolia,1877,MNG,673208,,,,,,,,,,,,,,,,,,,,,,,,,,,284.043,,,,,,,,,0.337,32.984,10.497,15.593,4.177,6.204,0.523,0.778,,,,,,,,,,,,,,,,0.355,,,,,0.33,,,0.394,0,0,0,0,22.205,0.227,,
Mongolia,1878,MNG,674180,,,,,,,,,,,,,,,,,,,,,,,,,,,295.026,,,,,,,,,0.338,33.72,10.983,16.29,4.188,6.212,0.549,0.814,,,,,,,,,,,,,,,,0.354,,,,,0.335,,,0.393,0,0,0,0,22.734,0.228,,
Mongolia,1879,MNG,675154,,,,,,,,,,,,,,,,,,,,,,,,,,,304.886,,,,,,,,,0.338,32.062,9.86,14.604,4.199,6.219,0.569,0.842,,,,,,,,,,,,,,,,0.352,,,,,0.302,,,0.391,0,0,0,0,21.647,0.228,,
Mongolia,1880,MNG,676128,,,,,,,,,,,,,,,,,,,,,,,,,,,316.587,,,,,,,,,0.339,38.944,11.701,17.306,4.21,6.226,0.581,0.859,,,,,,,,,,,,,,,,0.352,,,,,0.346,,,0.392,0,0,0,0,26.331,0.229,,
Mongolia,1881,MNG,677105,,,,,,,,,,,,,,,,,,,,,,,,,,,329.138,,,,,,,,,0.34,42.247,12.551,18.536,4.251,6.278,0.588,0.868,,,,,,,,,,,,,,,,0.353,,,,,0.372,,,0.394,0,0,0,0,28.606,0.23,,
Mongolia,1882,MNG,678082,,,,,,,,,,,,,,,,,,,,,,,,,,,343.014,,,,,,,,,0.341,44.916,13.877,20.465,4.292,6.329,0.594,0.875,,,,,,,,,,,,,,,,0.354,,,,,0.39,,,0.397,0,0,0,0,30.457,0.231,,
Mongolia,1883,MNG,679061,,,,,,,,,,,,,,,,,,,,,,,,,,,357.128,,,,,,,,,0.343,45.63,14.113,20.784,4.333,6.381,0.598,0.881,,,,,,,,,,,,,,,,0.356,,,,,0.406,,,0.399,0,0,0,0,30.985,0.233,,
Mongolia,1884,MNG,680041,,,,,,,,,,,,,,,,,,,,,,,,,,,370.04,,,,,,,,,0.344,44.135,12.913,18.988,4.374,6.432,0.603,0.886,,,,,,,,,,,,,,,,0.356,,,,,0.355,,,0.401,0,0,0,0,30.013,0.234,,
Mongolia,1885,MNG,681023,,,,,,,,,,,,,,,,,,,,,,,,,,,384.929,,,,,,,,,0.345,47.248,14.888,21.862,4.415,6.483,0.606,0.89,,,,,,,,,,,,,,,,0.358,,,,,0.41,,,0.403,0,0,0,0,32.177,0.235,,
Mongolia,1886,MNG,682006,,,,,,,,,,,,,,,,,,,,,,,,,,,399.88,,,,,,,,,0.346,47.523,14.952,21.923,4.456,6.534,0.61,0.894,,,,,,,,,,,,,,,,0.36,,,,,0.422,,,0.406,0,0,0,0,32.411,0.236,,
Mongolia,1887,MNG,682991,,,,,,,,,,,,,,,,,,,,,,,,,,,415.503,,,,,,,,,0.348,48.668,15.622,22.873,4.497,6.585,0.613,0.898,,,,,,,,,,,,,,,,0.362,,,,,0.423,,,0.409,0,0,0,0,33.24,0.238,,
Mongolia,1888,MNG,683977,,,,,,,,,,,,,,,,,,,,,,,,,,,431.891,,,,,,,,,0.349,49.935,16.388,23.96,4.538,6.635,0.617,0.902,,,,,,,,,,,,,,,,0.365,,,,,0.46,,,0.412,0,0,0,0,34.155,0.239,,
