country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Botswana,1850,BWA,100884,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,0.144,6.956,0.34,3.375,0.2,1.983,0.139,1.374,,,,,,,,,,,,,,,,0.013,,,,,0.013,,,,,,,,0.702,0.014,,
Botswana,1851,BWA,101340,,,,,,,,,,,,,,,,,,,,,,,,,,,0.682,,,,,,,,,0.145,7.003,0.342,3.373,0.203,2.002,0.142,1.397,,,,,,,,,,,,,,,,0.013,,,,,0.012,,,0.018,0,0,0,0,0.71,0.015,,
Botswana,1852,BWA,102081,,,,,,,,,,,,,,,,,,,,,,,,,,,1.025,,,,,,,,,0.146,7.024,0.342,3.354,0.206,2.016,0.144,1.414,,,,,,,,,,,,,,,,0.012,,,,,0.012,,,0.018,0,0,0,0,0.717,0.015,,
Botswana,1853,BWA,103108,,,,,,,,,,,,,,,,,,,,,,,,,,,1.367,,,,,,,,,0.147,7.021,0.342,3.321,0.209,2.024,0.147,1.426,,,,,,,,,,,,,,,,0.012,,,,,0.012,,,0.018,0,0,0,0,0.724,0.015,,
Botswana,1854,BWA,104146,,,,,,,,,,,,,,,,,,,,,,,,,,,1.709,,,,,,,,,0.148,7.015,0.342,3.285,0.212,2.031,0.15,1.436,,,,,,,,,,,,,,,,0.012,,,,,0.012,,,0.018,0,0,0,0,0.731,0.015,,
Botswana,1855,BWA,105194,,,,,,,,,,,,,,,,,,,,,,,,,,,2.051,,,,,,,,,0.149,7.005,0.342,3.249,0.214,2.038,0.152,1.444,,,,,,,,,,,,,,,,0.012,,,,,0.012,,,0.018,0,0,0,0,0.737,0.016,,
Botswana,1856,BWA,106253,,,,,,,,,,,,,,,,,,,,,,,,,,,2.392,,,,,,,,,0.149,6.991,0.341,3.211,0.217,2.045,0.154,1.448,,,,,,,,,,,,,,,,0.012,,,,,0.011,,,0.018,0,0,0,0,0.743,0.016,,
Botswana,1857,BWA,107323,,,,,,,,,,,,,,,,,,,,,,,,,,,2.733,,,,,,,,,0.15,6.973,0.341,3.174,0.22,2.051,0.156,1.45,,,,,,,,,,,,,,,,0.012,,,,,0.012,,,0.018,0,0,0,0,0.748,0.016,,
Botswana,1858,BWA,108403,,,,,,,,,,,,,,,,,,,,,,,,,,,3.073,,,,,,,,,0.151,6.951,0.34,3.136,0.223,2.057,0.157,1.449,,,,,,,,,,,,,,,,0.012,,,,,0.011,,,0.018,0,0,0,0,0.754,0.016,,
Botswana,1859,BWA,109494,,,,,,,,,,,,,,,,,,,,,,,,,,,3.412,,,,,,,,,0.151,6.925,0.339,3.099,0.226,2.063,0.158,1.444,,,,,,,,,,,,,,,,0.012,,,,,0.011,,,0.018,0,0,0,0,0.758,0.017,,
Botswana,1860,BWA,110596,,,,,,,,,,,,,,,,,,,,,,,,,,,3.757,,,,,,,,,0.152,6.921,0.345,3.119,0.229,2.068,0.159,1.434,,,,,,,,,,,,,,,,0.012,,,,,0.012,,,0.018,0,0,0,0,0.765,0.017,,
Botswana,1861,BWA,111709,,,,,,,,,,,,,,,,,,,,,,,,,,,4.105,,,,,,,,,0.153,6.913,0.348,3.113,0.232,2.078,0.159,1.423,,,,,,,,,,,,,,,,0.012,,,,,0.013,,,0.018,0,0,0,0,0.772,0.017,,
